sampleArticleId,sampleTitle,relationKind,rank,neighborArticleId,neighborTitle,objectId,canonicalName,objectType,semanticSimilarity,titleSimilarity,bodySimilarity,sameCanonicalPlace,sameCultureEvent,directRelation
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ARTICLE,1,5182852,[굿모닝문화] 패브릭의 회화 / 문자와 민화의 만남,,,,0.6524398326873779,0.5249981880187988,0.6524398326873779,False,False,
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ARTICLE,2,5176716,[굿모닝문화] 글램록 뮤지컬 / 백제 연인의 사랑 / 초속 5센티미터,,,,0.650802493095398,0.42411503195762634,0.650802493095398,False,False,
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ARTICLE,3,5169286,"[Musical] 뮤지컬 ‘팬레터’…안녕, 나의 빛 나의 악몽",,,,0.6487879753112793,0.3962973654270172,0.6487879753112793,False,False,
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ARTICLE,4,5181421,[굿모닝문화] 조선 청자와 고려 백자 / 이명미의 놀이 / 무대 위 '씻김굿',,,,0.6431967616081238,0.4740379750728607,0.6431967616081238,False,False,
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ARTICLE,5,5202017,[굿모닝문화] 앤디 덴즐러 소장전 / 소리 향한 집념 / 박효신과 홍광호,,,,0.6313610672950745,0.4660910665988922,0.6313610672950745,False,False,
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ENTITY,1,,,place_0009,진해해양공원,PLACE,0.4362098276615143,0.33629679679870605,0.4362098276615143,,,False
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ENTITY,2,,,event_0030,울산옹기축제,EVENT,0.42338186502456665,0.29367002844810486,0.42338186502456665,,,False
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ENTITY,3,,,place_0001,국립현대미술관,PLACE,0.4210160970687866,0.36995789408683777,0.4210160970687866,,,False
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ENTITY,4,,,place_0007,완도수목원,PLACE,0.416106641292572,0.29528701305389404,0.416106641292572,,,False
5165939,[굿모닝문화] 조원재·성연화 '평온의 순간' / 문인들의 예술혼,ENTITY,5,,,place_0020,행주산성 역사공원,PLACE,0.40906575322151184,0.3308887183666229,0.40906575322151184,,,False
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ARTICLE,1,5171442,[Mind Note] 새해의 다짐…‘나’에게도 더 관대해지길,,,,0.597536563873291,0.5185208916664124,0.597536563873291,False,False,
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ARTICLE,2,5206926,[Mind Note] 새옹지마의 깨달음,,,,0.5868974924087524,0.5034002065658569,0.5868974924087524,False,False,
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ARTICLE,3,5196000,"[Mind Note] 고마워, 미안해, 사랑해의 힘…정서적 지지의 말 제대로 하기",,,,0.5788502097129822,0.5395357608795166,0.5788502097129822,False,False,
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ARTICLE,4,5191854,[Mind Note] 3년 일기를 쓰며…작년의 나와 올해의 나로 본 사실,,,,0.5765352249145508,0.47249895334243774,0.5765352249145508,False,False,
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ARTICLE,5,5208420,[Mind Note] ‘긍정적 생각’의 힘…생각은 시계도 거꾸로 돌린다!,,,,0.5753448605537415,0.5691779255867004,0.5753448605537415,False,False,
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ENTITY,1,,,place_0021,오천그린광장,PLACE,0.4628586769104004,0.2680606544017792,0.4628586769104004,,,False
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ENTITY,2,,,place_0010,평화누리공원,PLACE,0.4552409052848816,0.3124283254146576,0.4552409052848816,,,False
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ENTITY,3,,,place_0022,헌화로,PLACE,0.43157944083213806,0.32530802488327026,0.43157944083213806,,,False
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ENTITY,4,,,place_0011,인흥마을,PLACE,0.42717498540878296,0.2764570415019989,0.42717498540878296,,,False
5168190,[Mind Note] 최고의 시작을 만드는 방법 ‘최신효과’의 힘,ENTITY,5,,,place_0014,모아시,PLACE,0.4158804416656494,0.3293567895889282,0.4158804416656494,,,False
5170849,[Movie] 초능력자지만 사랑은 하고 싶어...영화 ‘나만의 비밀’,ARTICLE,1,5203971,"[Movie] 영화 ‘신사: 악귀의 속삭임’…높아진 K-오컬트, 아쉬운 호러 장르",,,,0.5645180940628052,0.4470256268978119,0.5645180940628052,False,False,
5170849,[Movie] 초능력자지만 사랑은 하고 싶어...영화 ‘나만의 비밀’,ARTICLE,2,5167628,[Movie] 평범을 비범으로 만든 흑백 미장센...영화 ‘굿 포 낫씽’,,,,0.5509598255157471,0.4831101894378662,0.5509598255157471,False,False,
