articleId,attemptNumber,url,httpStatus,ok,errorType,errorMessage,elapsedSeconds
5182265,1,https://www.mbn.co.kr/news/life/5182265,200,True,,,0.3454636100013886
5182010,1,https://www.mbn.co.kr/news/life/5182010,200,True,,,0.14392578499973752
5181540,1,https://www.mbn.co.kr/news/life/5181540,200,True,,,0.08962008399976185
5181537,1,https://www.mbn.co.kr/news/life/5181537,200,True,,,0.30279921700093837
5181055,1,https://www.mbn.co.kr/news/life/5181055,200,True,,,0.09056349599995883
5181054,1,https://www.mbn.co.kr/news/life/5181054,200,True,,,1.1245165580003231
5180592,1,https://www.mbn.co.kr/news/life/5180592,200,True,,,0.08972355200057791
5180085,1,https://www.mbn.co.kr/news/life/5180085,200,True,,,0.10623359399869514
5179816,1,https://www.mbn.co.kr/news/life/5179816,200,True,,,0.3334369069998502
5179275,1,https://www.mbn.co.kr/news/life/5179275,200,True,,,0.4229060659999959
5179259,1,https://www.mbn.co.kr/news/life/5179259,200,True,,,0.4232297459984693
5176581,1,https://www.mbn.co.kr/news/life/5176581,200,True,,,0.4041230299990275
5175561,1,https://www.mbn.co.kr/news/life/5175561,200,True,,,0.26908631499827607
5175560,1,https://www.mbn.co.kr/news/life/5175560,200,True,,,0.29848744999981136
5175290,1,https://www.mbn.co.kr/news/life/5175290,200,True,,,0.22452392000013788
5174978,1,https://www.mbn.co.kr/news/life/5174978,200,True,,,0.23567631699916092
5174699,1,https://www.mbn.co.kr/news/life/5174699,200,True,,,0.40571783899940783
5173422,1,https://www.mbn.co.kr/news/life/5173422,200,True,,,1.0107943499988323
5173421,1,https://www.mbn.co.kr/news/life/5173421,200,True,,,0.2809019119995355
5173416,1,https://www.mbn.co.kr/news/life/5173416,200,True,,,0.15743254800145223
5172539,1,https://www.mbn.co.kr/news/life/5172539,200,True,,,0.32441468099932536
5171749,1,https://www.mbn.co.kr/news/life/5171749,200,True,,,0.11842290799904731
5171735,1,https://www.mbn.co.kr/news/life/5171735,200,True,,,0.31572976099960215
5171442,1,https://www.mbn.co.kr/news/life/5171442,200,True,,,0.07090191999850504
5171436,1,https://www.mbn.co.kr/news/life/5171436,200,True,,,0.3365708539986372
5170846,1,https://www.mbn.co.kr/news/life/5170846,200,True,,,0.30765699700168625
5170668,1,https://www.mbn.co.kr/news/life/5170668,200,True,,,0.32792604599853803
5170666,1,https://www.mbn.co.kr/news/life/5170666,200,True,,,0.11542978800025594
5169288,1,https://www.mbn.co.kr/news/life/5169288,200,True,,,0.3407830289997946
5168534,1,https://www.mbn.co.kr/news/life/5168534,200,True,,,0.3433335909994639
5168194,1,https://www.mbn.co.kr/news/life/5168194,200,True,,,0.33100503999958164
5168190,1,https://www.mbn.co.kr/news/life/5168190,200,True,,,0.09075586699873384
5167637,1,https://www.mbn.co.kr/news/life/5167637,200,True,,,0.31968927399975655
5167208,1,https://www.mbn.co.kr/news/life/5167208,200,True,,,1.6385486720009794
5166117,1,https://www.mbn.co.kr/news/life/5166117,200,True,,,0.3387682569991739
5166010,1,https://www.mbn.co.kr/news/life/5166010,200,True,,,0.3614227070011111
