articleId,source,sourceArticleId,url,rawTitle,publishedAt,section,collectedAt,rawSha256,indexParserVersion,hasBracketLabel,has_bracket_label,raw_label,label_group,title_chars,title_token_count,hour,weekday,month,day_index,hour_bucket,title_length_bucket,raw_label_count
5210942,mbn,5210942,https://www.mbn.co.kr/news/life/5210942,[AI기상캐스터]'입추'에도 서울 폭염 절정 한낮39도…주말 동해안 중심 비,2026-08-07 13:04:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,AI기상캐스터,AI기상캐스터,42,11,13,금,2026-08,218,오후(12–17),중상,10
5210780,mbn,5210780,https://www.mbn.co.kr/news/life/5210780,"""달리며 탄소중립 실천""…'제12회 I LOVE 방송대 마라톤 축제' 9월 5일 개최",2026-08-06 18:43:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,47,12,18,목,2026-08,217,저녁(18–23),김,0
5210752,mbn,5210752,https://www.mbn.co.kr/news/life/5210752,[Season Item] 호텔이 여름 시즌을 준비하는 방법…올해 여름 제철 미식 트렌드는?,2026-08-06 17:14:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,Season Item,Season Item,50,12,17,목,2026-08,217,오후(12–17),김,1
5210537,mbn,5210537,https://www.mbn.co.kr/news/life/5210537,서울 내일 최고 39도…광복절까지 '찜통더위' 이어진다,2026-08-05 18:14:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,30,7,18,수,2026-08,216,저녁(18–23),짧음,0
5210368,mbn,5210368,https://www.mbn.co.kr/news/life/5210368,"고혼진리퍼블릭, ‘부산 뷰티 라운지’ 오픈...차별화된 브랜드 경험 선사",2026-08-05 09:00:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,40,9,9,수,2026-08,216,오전(6–11),중하,0
5210310,mbn,5210310,https://www.mbn.co.kr/news/life/5210310,[Health Recipe] 더위가 재난인 시대…폭염 시 생존법칙 ‘야외 활동’ 전면 중단해야,2026-08-04 19:10:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,Health Recipe,Health Recipe,52,12,19,화,2026-08,215,저녁(18–23),김,20
5210190,mbn,5210190,https://www.mbn.co.kr/news/life/5210190,"[AI 기상캐스터] 서울, 첫 폭염중대경보… '서울 38℃'…서쪽 소나기",2026-08-04 13:15:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,AI 기상캐스터,AI 기상캐스터,40,9,13,화,2026-08,215,오후(12–17),중하,1
5209505,mbn,5209505,https://www.mbn.co.kr/news/life/5209505,"뉴런, R21 러닝 워치·MBN서울마라톤 결합 패키지 출시",2026-07-31 15:13:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,32,8,15,금,2026-07,211,오후(12–17),짧음,0
5209482,mbn,5209482,https://www.mbn.co.kr/news/life/5209482,[Find Dining] 제주 여름 여행…이 세 곳은 꼭 가야 한다,2026-07-31 14:30:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,Find Dining,Find Dining,37,11,14,금,2026-07,211,오후(12–17),중하,24
5209481,mbn,5209481,https://www.mbn.co.kr/news/life/5209481,"[AI기상캐스터]전국적 극심한 폭염,열대야...경남 중심 폭염중대경보",2026-07-31 14:26:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,AI기상캐스터,AI기상캐스터,38,8,14,금,2026-07,211,오후(12–17),중하,10
5209161,mbn,5209161,https://www.mbn.co.kr/news/life/5209161,휴가철 식중독·소화불량 주의…개인위생·상비약 준비 중요,2026-07-30 10:12:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,30,8,10,목,2026-07,210,오전(6–11),짧음,0
5209030,mbn,5209030,https://www.mbn.co.kr/news/life/5209030,"부산 38.8도, 관측 122년 만에 최고기온…양산 40.3도 경신",2026-07-29 17:52:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,37,11,17,수,2026-07,209,오후(12–17),중하,0
5209032,mbn,5209032,https://www.mbn.co.kr/news/life/5209032,"2026 MBN 서울마라톤 '러너스데이' 개최…""러너 중심 대회 만든다""",2026-07-29 17:06:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,40,9,17,수,2026-07,209,오후(12–17),중하,0
5208757,mbn,5208757,https://www.mbn.co.kr/news/life/5208757,[Health Recipe] 여름 ‘숲캉스’로 초록 샤워,2026-07-28 17:04:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,Health Recipe,Health Recipe,31,7,17,화,2026-07,208,오후(12–17),짧음,20
5208709,mbn,5208709,https://www.mbn.co.kr/news/life/5208709,"[AI기상캐스터] 전국적 극심한 폭염,열대야... 중부중심 소나기",2026-07-28 14:39:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,AI기상캐스터,AI기상캐스터,36,7,14,화,2026-07,208,오후(12–17),중하,10
5208426,mbn,5208426,https://www.mbn.co.kr/news/life/5208426,"'가플지우', 포항 용한리서 해안정화…민·관·기업 손잡고 ESG 환경 가치 실천",2026-07-27 13:58:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,False,False,,라벨 없음,44,12,13,월,2026-07,207,오후(12–17),중상,0
5208065,mbn,5208065,https://www.mbn.co.kr/news/life/5208065,"[Consumer News] “명품 사러 한국 온다” 외국인 지갑 열리자, 백화점 ‘3조 시대’ 눈앞",2026-07-24 17:38:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,Consumer News,Consumer News,56,13,17,금,2026-07,204,오후(12–17),김,11
5208062,mbn,5208062,https://www.mbn.co.kr/news/life/5208062,[Find Dining] 한 입이면 더위 끝! 여름 냉(冷) 미식,2026-07-24 17:36:00,life,2026-08-07T11:36:03.588875+00:00,b76ecb2a26a69bba8f963ab44b39e229802ce9ea0cda182413cedd065a123c5a,mbn_index_parser@1,True,True,Find Dining,Find Dining,36,9,17,금,2026-07,204,오후(12–17),중하,24
