articleId,blockIndex,blockType,rawText,cleanText,htmlFragment,sourceSelector,parseConfidence
5210942,0,image,https://www.mbn.co.kr/player/videojs/png/ic_caution.png,https://www.mbn.co.kr/player/videojs/png/ic_caution.png,"<img alt=""주의사항"" src=""https://www.mbn.co.kr/player/videojs/png/ic_caution.png""/>",img,0.9
5210942,1,caption,주의사항,주의사항,"<img alt=""주의사항"" src=""https://www.mbn.co.kr/player/videojs/png/ic_caution.png""/>",img[alt],0.9
5210942,2,paragraph,VOD 시청 안내 어도비 플래시 플레이어 서비스 종료에 따라,VOD 시청 안내 어도비 플래시 플레이어 서비스 종료에 따라,,text_run(br_separated),0.6
5210942,3,paragraph,현재 브라우저 버전에서는 서비스가 원할하지 않습니다.,현재 브라우저 버전에서는 서비스가 원할하지 않습니다.,,text_run(br_separated),0.6
5210942,4,paragraph,아래 버튼을 클릭하셔서 브라우저 업그레이드(설치) 해주시기 바랍니다. 브라우저 업그레이드 및 설치 오늘은 절기상 '입추'지만. 절기가 무색하게 서쪽 지역의 더위는 절정을 보이겠습니다.,아래 버튼을 클릭하셔서 브라우저 업그레이드(설치) 해주시기 바랍니다. 브라우저 업그레이드 및 설치 오늘은 절기상 '입추'지만. 절기가 무색하게 서쪽 지역의 더위는 절정을 보이겠습니다.,,text_run(br_separated),0.6
5210942,5,paragraph,오늘 서울의 낮 기온 39도까지 올라 올해 들어 가장 덥겠습니다.,오늘 서울의 낮 기온 39도까지 올라 올해 들어 가장 덥겠습니다.,,text_run(br_separated),0.6
5210942,6,paragraph,주말에는 기온이 점차 내려가겠지만 무더운 날씨는 계속되겠습니다.,주말에는 기온이 점차 내려가겠지만 무더운 날씨는 계속되겠습니다.,,text_run(br_separated),0.6
5210942,7,paragraph,"주말, 동해안을 중심으로 강하고 많은 비가 내리겠습니다.","주말, 동해안을 중심으로 강하고 많은 비가 내리겠습니다.",,text_run(br_separated),0.6
5210942,8,paragraph,"경북 동해안 최고 80mm, 강원 동해안과 산지에 150mm 이상의 비가 오겠습니다.","경북 동해안 최고 80mm, 강원 동해안과 산지에 150mm 이상의 비가 오겠습니다.",,text_run(br_separated),0.6
5210942,9,paragraph,중부지방 한낮 기온 서울 39도 인천과 수원 38도 보이겠습니다.,중부지방 한낮 기온 서울 39도 인천과 수원 38도 보이겠습니다.,,text_run(br_separated),0.6
5210942,10,paragraph,"남부지방 한낮 기온 전주 39도, 광주 38도 예상됩니다.","남부지방 한낮 기온 전주 39도, 광주 38도 예상됩니다.",,text_run(br_separated),0.6
5210942,11,paragraph,동해안지방 낮 기온 31도 내외를 보이겠습니다.,동해안지방 낮 기온 31도 내외를 보이겠습니다.,,text_run(br_separated),0.6
5210942,12,paragraph,다행히 주말인 내일부터는 40도에 달하는 찜통 더위는 다소 누그러지겠습니다.,다행히 주말인 내일부터는 40도에 달하는 찜통 더위는 다소 누그러지겠습니다.,,text_run(br_separated),0.6
5210942,13,paragraph,다만 내륙 곳곳에는 소나기가 지날 전망입니다. 지금까지 날씨였습니다,다만 내륙 곳곳에는 소나기가 지날 전망입니다. 지금까지 날씨였습니다,,text_run(br_separated),0.6
